2026-07-25T19:19:00+08:00 | command: git status --short --branch | exit_code: 0 | output: clean; main...origin/main
2026-07-25T19:19:00+08:00 | command: git rev-parse HEAD | exit_code: 0 | output: 3459e5ad9449afaf162f97eaf82bf9d7f9efd96d
2026-07-25T19:19:00+08:00 | command: git rev-parse origin/main | exit_code: 0 | output: 3459e5ad9449afaf162f97eaf82bf9d7f9efd96d
2026-07-25T19:19:00+08:00 | command: git merge-base --is-ancestor b024123aac66dc9de01102a61ed92ae8c57dbd0f HEAD | exit_code: 0 | output: ancestor=true
2026-07-25T19:19:00+08:00 | command: git diff b024123aac66dc9de01102a61ed92ae8c57dbd0f..HEAD -- managed-proxy | exit_code: 0 | output: no diff
2026-07-25T19:20:00+08:00 | command: git fetch origin --prune | exit_code: 1 | output: SEC_E_NO_CREDENTIALS; no credential repair attempted
2026-07-25T19:32:00+08:00 | command: npm.cmd test | exit_code: 0 | output: tests 19; pass 19; fail 0
2026-07-25T19:33:00+08:00 | command: npx.cmd wrangler types worker-configuration.d.ts | exit_code: 0 | output: runtime types generated; wrangler log EPERM warning only
2026-07-25T19:33:00+08:00 | command: npx.cmd tsc --noEmit --skipLibCheck --moduleResolution node --module ES2022 --target ES2022 worker-configuration.d.ts src/index.ts | exit_code: 0 | output: passed
2026-07-25T19:33:00+08:00 | command: parse wrangler.jsonc with JSON.parse | exit_code: 0 | output: allowed deepseek-chat; upstream deepseek-v4-flash; thinkingMode disabled
2026-07-25T19:32:00+08:00 | command: git diff --check | exit_code: 0 | output: passed
2026-07-25T19:34:00+08:00 | command: production baseline read-only checks | exit_code: 0 | output: active d9acb146-b720-4e09-b2b8-0257b93fc407; stable 100; failed candidate 0; version 12 0; secrets and D1 schema unchanged; budget platform 21/1 and deepseek-chat 21/1
2026-07-25T19:36:00+08:00 | command: production GET /health and /v1/models with explicit ProxyAgent | exit_code: 0 | output: both HTTP 200
